Date,Subways: Total Estimated Ridership,Subways: % of Comparable Pre-Pandemic Day,Buses: Total Estimated Ridership,Buses: % of Comparable Pre-Pandemic Day,LIRR: Total Estimated Ridership,LIRR: % of Comparable Pre-Pandemic Day,Metro-North: Total Estimated Ridership,Metro-North: % of Comparable Pre-Pandemic Day,Access-A-Ride: Total Scheduled Trips,Access-A-Ride: % of Comparable Pre-Pandemic Day,Bridges and Tunnels: Total Traffic,Bridges and Tunnels: % of Comparable Pre-Pandemic Day,Staten Island Railway: Total Estimated Ridership,Staten Island Railway: % of Comparable Pre-Pandemic Day
01/16/2024,3235935,0.63,1078860,0.53,205716,0.68,178389,0.66,29826,1.05,712714,0.82,5414,0.33
01/17/2024,3616923,0.7,1193111,0.58,217173,0.72,199986,0.74,32054,1.13,863242,0.99,6891,0.42
01/18/2024,3655850,0.71,1235693,0.6,217911,0.72,197257,0.73,32318,1.14,896766,1.03,7014,0.43
01/19/2024,3176408,0.62,1109408,0.54,191999,0.64,171490,0.64,27175,0.96,793429,0.91,5330,0.33
01/20/2024,2024041,0.75,677335,0.57,96128,0.99,82817,0.64,15487,1.07,758923,0.99,1926,0.47
01/21/2024,1576126,0.75,548497,0.6,78041,0.94,66955,0.74,17147,1.27,718777,1.05,1482,0.54
01/22/2024,3305387,0.64,1210644,0.59,209302,0.69,185181,0.69,30092,1.06,841078,0.97,6558,0.4
01/23/2024,3652488,0.71,1264199,0.62,233311,0.77,205300,0.76,33111,1.17,864670,1,7194,0.44
01/24/2024,3666907,0.71,1247798,0.61,223928,0.74,201969,0.75,33082,1.17,867077,1,7027,0.43
01/25/2024,3681867,0.72,1256481,0.61,223766,0.74,199560,0.74,32517,1.15,890573,1.02,6845,0.42
01/26/2024,3380816,0.66,1193175,0.58,213749,0.71,184511,0.69,31329,1.11,913609,1.05,5681,0.35
01/27/2024,2283244,0.84,801262,0.67,117555,1.21,102600,0.79,19099,1.32,853000,1.12,2409,0.59
01/28/2024,1549077,0.74,535857,0.58,75177,0.91,66794,0.74,17473,1.29,712530,1.04,1455,0.53
01/29/2024,3297571,0.64,1211703,0.59,214890,0.71,187702,0.7,29367,1.04,838882,0.97,6755,0.41
01/30/2024,3717520,0.72,1284597,0.63,230931,0.76,207896,0.77,32782,1.16,868230,1,7744,0.47
01/31/2024,3808584,0.74,1325692,0.65,228148,0.76,204353,0.76,33417,1.18,882805,1.02,7651,0.47
02/01/2024,3814682,0.7,1337508,0.62,214275,0.71,189621,0.7,33540,1.14,911954,1.03,7465,0.46
02/02/2024,3457807,0.64,1239617,0.58,200395,0.66,174044,0.65,32175,1.09,917639,1.04,6207,0.38
02/03/2024,2324038,0.81,808103,0.64,113576,1.21,102310,0.78,20070,1.23,845878,1.02,2357,0.55
02/04/2024,1742107,0.79,626299,0.64,86327,1.1,77083,0.85,20480,1.21,790429,1.05,1746,0.62
02/05/2024,3481777,0.64,1297578,0.6,218879,0.72,190181,0.71,31372,1.07,855224,0.97,7053,0.44
02/06/2024,3857533,0.71,1346868,0.63,233524,0.77,208252,0.77,33618,1.14,880296,1,7709,0.48
02/07/2024,3900992,0.72,1341486,0.62,229426,0.76,202871,0.75,34799,1.18,896482,1.01,7655,0.47
02/08/2024,3903673,0.72,1350925,0.63,232069,0.77,198010,0.74,34386,1.17,937494,1.06,7442,0.46
02/09/2024,3547321,0.65,1268268,0.59,218909,0.72,185475,0.69,32233,1.1,953705,1.08,6121,0.38
02/10/2024,2385448,0.83,795892,0.63,118074,1.26,99943,0.76,20462,1.26,876746,1.05,2596,0.61
02/11/2024,1774698,0.81,628400,0.64,83832,1.07,73614,0.81,20610,1.22,759996,1.01,1769,0.63
02/12/2024,3374596,0.62,1254403,0.58,212628,0.7,185118,0.69,30323,1.03,888941,1.01,6132,0.38
02/13/2024,2273584,0.42,724893,0.34,166803,0.55,134355,0.5,23271,0.79,480178,0.54,3641,0.23
02/14/2024,3963628,0.73,1282121,0.6,230505,0.76,201686,0.75,32796,1.11,909016,1.03,7645,0.47
02/15/2024,3874860,0.71,1305830,0.61,228885,0.76,202704,0.75,33402,1.14,948001,1.07,7500,0.46
02/16/2024,3504536,0.65,1225865,0.57,210552,0.7,186547,0.69,32442,1.1,962249,1.09,6269,0.39
02/17/2024,2178047,0.76,680638,0.54,95271,1.02,92423,0.71,17545,1.08,769698,0.93,2038,0.48
02/18/2024,1850840,0.84,604537,0.62,89877,1.15,81659,0.9,18975,1.13,794483,1.05,1720,0.61
02/19/2024,2244741,1.02,842548,0.86,96569,1.24,85973,0.94,17585,0.6,814165,1.08,3007,1.07
02/20/2024,3490990,0.64,1201850,0.56,233827,0.77,207100,0.77,32208,1.09,895208,1.01,7023,0.43
02/21/2024,3591484,0.66,1222440,0.57,230058,0.76,201075,0.75,33590,1.14,892324,1.01,7112,0.44
02/22/2024,3588173,0.66,1212903,0.56,225465,0.74,195316,0.73,32702,1.11,924554,1.05,6674,0.41
02/23/2024,3219121,0.59,1126271,0.52,208527,0.69,182349,0.68,30262,1.03,916874,1.04,5479,0.34
02/24/2024,2308808,0.8,788962,0.62,114816,1.23,98942,0.76,19456,1.2,866204,1.04,2407,0.56
02/25/2024,1740477,0.79,608010,0.62,88104,1.13,78248,0.86,19822,1.18,822624,1.09,1800,0.64
02/26/2024,3439079,0.63,1275320,0.59,217914,0.72,187543,0.7,30867,1.05,873604,0.99,6969,0.43
02/27/2024,3802458,0.7,1332209,0.62,233207,0.77,208043,0.77,33571,1.14,893537,1.01,7659,0.47
02/28/2024,3784177,0.7,1290829,0.6,228110,0.75,199672,0.74,33664,1.14,889784,1.01,7428,0.46
02/29/2024,3905888,0.72,1334777,0.62,232010,0.77,204829,0.76,33637,1.14,957616,1.08,7295,0.45
03/01/2024,3573658,0.64,1276428,0.57,181633,0.58,157349,0.57,33416,1.12,968878,1.05,6220,0.39
03/02/2024,2094029,0.68,689029,0.52,98266,0.91,85586,0.63,19380,1.14,823629,0.95,2084,0.41
03/03/2024,1961510,0.86,686787,0.69,93906,1.08,85095,0.9,21351,1.21,857039,1.06,1981,0.63
03/04/2024,3539671,0.64,1319592,0.59,219565,0.7,188845,0.68,32231,1.08,887009,0.96,7229,0.45
03/05/2024,3819514,0.69,1263377,0.56,236999,0.76,204516,0.74,34277,1.15,868487,0.94,7344,0.46
03/06/2024,3865589,0.69,1273337,0.57,225080,0.72,198040,0.72,35207,1.18,890058,0.97,7555,0.47
03/07/2024,3893731,0.7,1334827,0.6,226926,0.72,197659,0.72,34235,1.15,941815,1.02,7414,0.46
03/08/2024,3685219,0.66,1291469,0.58,226372,0.72,192899,0.7,34613,1.16,987695,1.07,6588,0.41
03/09/2024,2128635,0.69,747405,0.56,113368,1.05,97183,0.72,19661,1.16,857351,0.98,2174,0.43
03/10/2024,1803578,0.79,630566,0.63,90567,1.04,77768,0.82,20080,1.14,818114,1.01,1750,0.56
03/11/2024,3497588,0.63,1270081,0.57,218755,0.7,188108,0.68,31600,1.06,869087,0.94,6854,0.43
03/12/2024,3988438,0.72,1370319,0.61,239002,0.76,213585,0.77,34978,1.18,911441,0.99,7820,0.49
03/13/2024,4024943,0.72,1377062,0.61,237603,0.76,212582,0.77,36469,1.23,937527,1.02,8100,0.51
03/14/2024,4049186,0.73,1368263,0.61,240124,0.77,211962,0.77,36111,1.21,970105,1.05,7658,0.48
03/15/2024,3643013,0.65,1275542,0.57,227481,0.73,199285,0.72,33266,1.12,986807,1.07,6558,0.41
03/16/2024,2553056,0.83,838318,0.63,138156,1.28,129667,0.96,20796,1.23,924262,1.06,3108,0.61
03/17/2024,1972170,0.86,625861,0.63,103993,1.2,86964,0.92,20237,1.15,862748,1.07,2078,0.66
03/18/2024,3482565,0.63,1296423,0.58,221451,0.71,190770,0.69,31905,1.07,895292,0.97,7072,0.44
03/19/2024,3869116,0.69,1336910,0.6,242771,0.77,210028,0.76,34899,1.17,909501,0.99,7795,0.49
03/20/2024,3886104,0.7,1334002,0.6,234446,0.75,206030,0.75,35998,1.21,927404,1.01,7700,0.48
03/21/2024,3862248,0.69,1317112,0.59,228782,0.73,200037,0.73,35097,1.18,947309,1.03,7292,0.46
03/22/2024,3581959,0.64,1251225,0.56,225175,0.72,187489,0.68,33549,1.13,975518,1.06,6299,0.39
03/23/2024,1863863,0.61,587004,0.44,95770,0.89,77331,0.57,17633,1.04,733638,0.84,1766,0.35
03/24/2024,1912946,0.83,653413,0.66,95973,1.11,80451,0.85,22334,1.27,861573,1.07,1890,0.6
03/25/2024,3583716,0.64,1281676,0.57,224068,0.71,192721,0.7,31947,1.07,902281,0.98,7032,0.44
03/26/2024,3969793,0.71,1355991,0.6,239790,0.77,211567,0.77,34874,1.17,914666,0.99,7754,0.49
03/27/2024,4014011,0.72,1342695,0.6,241268,0.77,207745,0.75,35627,1.2,943920,1.02,7628,0.48
03/28/2024,3910547,0.7,1223847,0.55,239840,0.77,200584,0.73,34416,1.16,954143,1.04,6780,0.42
03/29/2024,3372535,0.61,1096254,0.49,241583,0.77,198344,0.72,30293,1.02,966343,1.05,5092,0.32
03/30/2024,2526569,0.82,801723,0.6,135355,1.25,111061,0.82,19891,1.17,906427,1.04,2748,0.54
03/31/2024,1936295,0.84,606411,0.61,121273,1.4,98458,1.04,23316,1.32,933446,1.16,2096,0.67
04/01/2024,3321989,0.6,1168598,0.53,208291,0.67,180107,0.63,30083,1.04,917643,0.98,6053,0.37
04/02/2024,3900061,0.7,1247638,0.57,234615,0.76,206754,0.72,34415,1.19,889922,0.95,7289,0.45
04/03/2024,3890305,0.7,1162660,0.53,222764,0.72,195001,0.68,34971,1.21,851814,0.91,6815,0.42
04/04/2024,4100733,0.74,1339531,0.61,232730,0.75,201745,0.7,34712,1.2,957042,1.02,7180,0.44
04/05/2024,3800800,0.68,1263607,0.58,225107,0.73,202580,0.71,34503,1.19,981699,1.04,6309,0.39
04/06/2024,2477127,0.78,822825,0.62,128106,1.12,117095,0.79,21444,1.29,928096,1.02,2555,0.5
04/07/2024,1899641,0.78,651153,0.66,101624,1.11,94103,0.91,21759,1.17,875089,1.01,2033,0.62
04/08/2024,3506719,0.63,1258402,0.58,220359,0.71,194106,0.68,31777,1.1,879783,0.93,6873,0.42
04/09/2024,4042674,0.72,1366571,0.63,251964,0.81,228390,0.8,36151,1.25,965630,1.03,7937,0.49
04/10/2024,3791945,0.68,1245909,0.57,235585,0.76,216592,0.75,35534,1.23,946464,1.01,7115,0.44
04/11/2024,4000485,0.72,1315916,0.6,241215,0.78,205014,0.71,35354,1.22,963140,1.02,7326,0.45
04/12/2024,3668439,0.66,1240823,0.57,225168,0.73,191755,0.67,33701,1.16,979494,1.04,6265,0.39
04/13/2024,2535112,0.8,824356,0.62,120351,1.05,110542,0.74,21606,1.3,930759,1.02,2609,0.51
04/14/2024,2068885,0.85,664358,0.67,103711,1.13,93633,0.91,21766,1.17,897470,1.04,2145,0.66
04/15/2024,3704177,0.66,1319005,0.6,233386,0.75,203835,0.71,32975,1.14,933433,0.99,7374,0.45
04/16/2024,4033514,0.72,1370151,0.63,243835,0.79,220030,0.77,35869,1.24,941739,1,8017,0.49
04/17/2024,4021256,0.72,1347870,0.62,243323,0.78,214829,0.75,35970,1.24,942089,1,7805,0.48
04/18/2024,3966226,0.71,1303010,0.6,230634,0.74,203859,0.71,34816,1.2,955479,1.02,7271,0.45
04/19/2024,3705782,0.66,1278086,0.58,223518,0.72,205809,0.72,33749,1.17,1000275,1.06,6252,0.39
04/20/2024,2537525,0.8,830016,0.62,125999,1.1,123804,0.83,21228,1.27,949195,1.04,2793,0.55
04/21/2024,1918237,0.79,651681,0.66,101817,1.11,98834,0.96,20807,1.11,873632,1.01,2017,0.62
04/22/2024,3219677,0.58,1146285,0.52,229680,0.74,206230,0.72,29919,1.03,902943,0.96,6171,0.38
04/23/2024,3522218,0.63,1176798,0.54,238274,0.77,221192,0.77,31727,1.1,869972,0.92,7063,0.44
04/24/2024,3608010,0.65,1180243,0.54,233010,0.75,215928,0.75,32658,1.13,880348,0.94,6847,0.42
04/25/2024,3723894,0.67,1191480,0.55,242243,0.78,217220,0.76,32999,1.14,962228,1.02,6820,0.42
04/26/2024,3431590,0.62,1143792,0.52,229885,0.74,198591,0.69,31859,1.1,955900,1.02,5647,0.35
04/27/2024,2506779,0.79,801494,0.6,123192,1.08,109447,0.73,20591,1.23,911900,1,2479,0.48
04/28/2024,2084950,0.86,649572,0.65,100214,1.09,91619,0.89,21057,1.13,881076,1.02,1965,0.6
04/29/2024,3323706,0.6,1161990,0.53,225362,0.73,201385,0.7,30504,1.05,866723,0.92,6385,0.39
04/30/2024,3638986,0.65,1193514,0.55,240862,0.78,218592,0.76,32717,1.13,872347,0.93,6886,0.42
05/01/2024,4032791,0.71,1350660,0.59,230682,0.72,205030,0.72,35701,1.21,954842,0.99,7757,0.45
05/02/2024,4061242,0.71,1349838,0.59,235003,0.74,210952,0.74,36244,1.23,980830,1.02,7475,0.43
05/03/2024,3780888,0.66,1285012,0.56,226880,0.71,204190,0.71,34860,1.19,1004571,1.04,6516,0.37
05/04/2024,2563658,0.8,849249,0.61,123516,1.04,122719,0.81,22523,1.3,951334,0.99,2769,0.57
05/05/2024,1889174,0.79,578132,0.6,99491,1.02,87989,0.85,20709,1.22,819681,0.96,2571,0.73
05/06/2024,3652105,0.64,1295794,0.57,229643,0.72,200507,0.7,33424,1.14,930298,0.97,6869,0.39
05/07/2024,4098321,0.72,1375535,0.6,250953,0.79,227303,0.79,36309,1.23,954763,0.99,7966,0.46
05/08/2024,4087477,0.71,1350511,0.59,244202,0.76,221059,0.77,36981,1.26,969162,1.01,7623,0.44
05/09/2024,4086528,0.71,1354139,0.6,247959,0.78,218370,0.76,35927,1.22,999321,1.04,7344,0.42
05/10/2024,3677268,0.64,1212090,0.53,228020,0.71,195091,0.68,34539,1.17,1001911,1.04,5894,0.34
05/11/2024,2648580,0.83,845713,0.61,134051,1.13,117308,0.78,22810,1.32,1004157,1.05,3078,0.63
05/12/2024,1858872,0.78,559614,0.58,114118,1.17,98717,0.95,24531,1.44,930720,1.09,1755,0.5
05/13/2024,3703066,0.65,1264180,0.56,244216,0.76,209795,0.73,31980,1.09,953646,0.99,7137,0.41
05/14/2024,4116606,0.72,1343343,0.59,260745,0.82,226656,0.79,35800,1.22,964136,1,7698,0.44
05/15/2024,4114539,0.72,1287546,0.57,248434,0.78,219840,0.77,36951,1.26,942648,0.98,7856,0.45
05/16/2024,4103619,0.72,1304976,0.57,243988,0.76,215601,0.75,35940,1.22,985179,1.02,7590,0.44
05/17/2024,3816678,0.67,1269096,0.56,241980,0.76,215838,0.75,34946,1.19,1023765,1.06,6569,0.38
05/18/2024,2691156,0.84,790921,0.57,131709,1.11,130280,0.86,21562,1.25,969098,1.01,2855,0.59
05/19/2024,2121168,0.89,656131,0.68,112130,1.15,106409,1.02,22305,1.31,939438,1.1,2228,0.63
05/20/2024,3677281,0.64,1286277,0.57,236846,0.74,216450,0.76,32417,1.1,956799,0.99,7160,0.41
05/21/2024,4024394,0.7,1339294,0.59,252506,0.79,234587,0.82,35819,1.22,962058,1,7774,0.45
05/22/2024,4096783,0.72,1335268,0.59,258544,0.81,233098,0.81,36940,1.26,975096,1.01,8085,0.46
05/23/2024,3848741,0.67,1145153,0.5,250848,0.79,215083,0.75,34785,1.18,1011195,1.05,7439,0.43
05/24/2024,,,,,,,,,33663,1.14,,,,
05/25/2024,,,,,,,,,20733,1.2,,,,
05/26/2024,,,,,,,,,22762,1.34,,,,
